;Исполнитель;Группа тем;Текст инцидента;Тема;num_ner
12256;Губахинский городской округ;Благоустройство;'‼️ [club134244297|Администрация Губахи - Официальная страница], данные фотографии сделаны вчера (20.12.2022 г.) вечером на улице Толстого, то есть ~ в 100-150 метрах от того места, где находится здание, в котором работает заместитель главы администрации Губахинского муниципального округа по инфраструктуре и ЖКХ Лобов Иван Олегович.<br>В группе Информ Губаха нет никаких ограничений в доступе к публикациям, о которых вы пишете в комментариях, и якобы не можете более детально ознакомиться с проблемами жителей Губахинского муниципального округа, соответственно не можете сиюминутно принять меры, необходимые для устранения неудобств, возникших по причине неэффективной работы кого-то из госслужащих.<br>Информация (фото, адреса, даже примерное расстояние от здания, расположенного по адресу: ул. Никонова, 44) доступна к ознакомлению.<br>Мы даже отмечаем вас активной ссылкой в тексте, чтобы вы обратили своё внимание на какие-либо нарушения, либо несоответствие каким-либо стандартам/нормативам, с той целью, чтобы вы, как компетентные органы, оперативно исправили ситуацию, так как это ваша прямая обязанность.<br>Все дороги должны быть очищены от снега, так как в противном случае это может привести к плачевным последствиям. Кто понесёт ответственность, если, допустим, на данном участке дороги застрянет карета скорой медицинской помощи, и кого-то из жителей округа не успеют доставить в реанимацию?;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади;7
12280;Министерство здравоохранения;Здравоохранение/Медицина;'Добрый день!<br>Прошу провести проверку.<br>5.11.22 поступили по скорой в больницу в Перми на Соловьева 9а с гриппом.Врач Хаметова ДА пришла только на следующий день и назначила свечи виферон,которые делали дома и антибиотик-суспензия,хотя просили уколы,тк ребенок выплевывал и не пил суспензию.Болела и мама,но мне в лечении отказали,а просто сказали идти домой,а ребенка оставить с бабушкой,при этом ребенок на гв.<br>До пятницы лежали ,думали уже выпишут,но началась рвота и нос у ребенка и у мамы.Из лечения вода и полисорб.Попросила капельницу-отказ,не положено! В выходные врачи не оказывали никакой помощи,хотя был понос у ребенка.Брать анализ на ротовирус-отказали.<br>В понедельник довели уже ребенка до критичного состояния и только тогда врач Хаметова ДА соизволила назначить капельницу ,три часа 9 месячному ребенка капать глюкозу!!!!!После такого вынуждена была написать отказ и уехать.<br>Дома сделали анализ на ротовирус-подтвердился (фото прилагаю). Выписку до сих пор не отдали!<br>Просьба проверить больницу и врача!!!!<br>Про больницу:взяли платную палату-от окна дует,пол моют раз в день,туалет и раковину мыли один раз за неделю,грязь,кровать маленькая жесткая.Еда отвратительная,есть невозможно совсем.Еда для детей тоже несъедобная.<br>Палаты переполнены,всех кладут вместе и орви и понос,рвота.Все друг друга заражают!!!<br>Контакты:Беляева Татьяна Андреевна 89223560268;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;5
12357;Министерство здравоохранения;Здравоохранение/Медицина;'[club171875648|Министерство здравоохранения Пермского края], Приобретение Новейшего УЗИ и Гастроскопа - 2 штуки - почему 2 да потому что так удобнее , выгоднее в конечно итоге можно реализовать уже Сейчас !!! Будет ли в Новой Клинике Новейшее Стоматологическое оборудование , ну и конечно же зубное протезирование должно быть на Мировом уровне !??? В Сиве Я как понимаю зубопротезирование в рамках ЦРБ вообще отсутствует !!! Планируется ли узкие специалисты то как Проктолог , так как Хирург должен резать и сшивать ??? , проктология это отдельная наука , дисциплина . Сроки введения Новой ЦБР ??? Есть ли отставания на данный момент времени в строительстве Поликлиники . ВКочино@ .;Нехватка материально-технического обеспечения;7
12378;ИГЖН ПК;ЖКХ;'Уважаемые работники ЦКО,,Боровск,, управляющая компания нашего дома по ул. Большевистская 31. Так надоело доказывать Ваши обязанности по содержанию придомовой территории. Вы их просто не выполняете и не хотите этого делать. Не хотите вывозить снежную кучу из под окон нашего дома. Не верите откуда сама образовалась куча, а это мы втихушу ночью по очереди выходим и хлебальными ложками носим снег туда. Смешно. Хотели доказательств, нате, ловите. А потом вы говорите, дорого нанимать спецтехника, договор надо заключить. А то что снег гребете от дома по ул. Черняховского 25 и с муниципальной территории, ниче? Дом по Черняховского 25 попал под ремонт областной два года назад, вылизывает все территорию округ подъездов. А как вам вот это: первый подъезд, второй этаж, под сливом есть каменный подоконник, а вот его уже нет, отпал. Ладно детей и машин под ним не было. Дак у нас под окном гора Олимп, одевайте венцы и на гору богами чувствовать себя. Дом на балансе у вас как принят? Дом двухэтажный, одноподьездный, десятиквартирный. А по архивной справке то : дом одноэтажный, двух!!! подъездные ,жилой, абсурд. Мы что Карлосы, а за что с нас берете коммуналку, второго этажа жилого то нет. За крышу, то что текла, я с вами три года билась, спасибо соцзащиты , опеке и попечительству, добилась ,поменяли. Были и видели: квартиру инвалида 1 гр с рождения залило. Ах да как, да почему? Надоело так, что мама не горюй. Ни телевидения, ни звонков жильцов не слышите. Воистину: мания величия. Гора под окном, милости прошу на Олимп. С уважением Мартакова М.В. ,опекун инвалида 1 группы с рождения Елькина С В. Собственника квартиры ул .Большевистская 31-10.;Жалобы на управляющие компании;7
12383;Город Пермь;Дороги;'Шёл от ДКЖ пешком на Парковый. На Энгельса хорошо почищен широкий тротуар, идешь по белому утрамбованному снегу. А на проспекте Парковом уже тротуар неровно очищен. Снег кашей, с грязью. Но самый треш это переходить через дублер проспекта- там в минусовую температуру- лужи и грязь! Вот зачем там сыпать реагент и не убирать снег? Обувь промокла, испорчена. Настроение тоже. Вроде мелочь- но слишком много таких неприятных мелочей в последние годы в Перми - автобусы ждешь, карта не срабатывает, пешком пойти- тоже невозможно. А случись гололед -как в ноябре 2019 года- опять будет скользко и реагентов противогололедных нет! Это ведь все неприятности не из разряда неизбежных, их можно предотвратить, но почему то все делается наоборот...;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;5
12385;Губахинский городской округ;Строительство и архитектура;'Наталья, не поняла про улицы! При чем здесь это? Мне обидно, что ни на Северном, ни на Коммуне не строят дома! Старые разваливаются! Очень не хочется, что это все пропало как пос Шахтный, Некрасова, Серова!;Строительство зданий;5
12392;Город Пермь;Дороги;'Добрый день! На перекрестке улиц Куйбышева и Лодыгина стоит стенд : ремонт улицы Куйбышева от улицы Чкалова до улицы Лодыгина. По факту асфальт и облагораживание идёт до улицы Яблочкова, хотя улица Куйбышева вообще вся разбита до улицы Васильева.<br>Хотелось бы получить ответ на данный вопрос.;Ремонт дороги;8
12399;Губахинский городской округ;Дороги;'> ['Всё так и будет продолжаться? \nСнежные горы, образуемые из удалённого снежного покрова с городских дорог Губахи, были созданы «неизвестным» подрядчиком так же и на ул. Тюленина. Серо-грязный снег плотно спрессован по бокам площадки расположенной немного выше дома № 5 по ул. Тюленина. \nУже скоро, эти снежные «барханы» начнут активно таят и вероятно, что талые воды подтопят три многоквартирных дома по ул. Тюленина № 1, № 3 и № 5. Но, подрядчика и заказчика этих работ – городскую администрацию это, по ходу дела, совсем не волнует. Талые воды будут головной болью только управляющих компаний. Именно управляющие компании будут обязаны спасать и сохранять общедомовое имущество. То есть – решать проблему – созданную теми, кто производил очистку наших городских дорог. \nИ не важно, что Подрядчик, вывез снег для утилизации не на очистные сооружения, вывалил их в черте города. Главное, что Заказчика всё устраивает. По умолчанию. Это ведь не дома наших чиновников будет топить, а простых жителей нашего города. Может быть, у кого-то то из надзирающих и смотрящих за порядком в городе всё же проснётся совесть? Или всё так и будет продолжаться, пока нам не изберут нового Главу?'];★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи;5
12410;Город Пермь;Благоустройство;"'Здравствуйте, вопрос о наболевшем. В нашем дворе Чистопольская 21,23 на дет площадке качели в очень плачевном состоянии. Заявка на ремонт была подана В ""Заречную"" ук, далее в ИГЖН. На что мне ответили администрация в лице Пономарева , что площадка находится в нормативном состоянии и выслала фото с расстояния ""500"" м. После этого я звонила в администрацию и получила устный ответ, что данные качели, которые подлежат ремонту стоят на бесхозный земле, те ни Заречная, ни администрация ремонтировать не будут. Не надо демонтировать сломанные качели, как делают в многих дворах. Качелям нужен ремонт";★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке;6
12558;Город Пермь;Социальное обслуживание и защита;'Здравствуйте.<br>Орджоникидзевский район города Перми наш адрес.<br>Микрорайон Лёвшино.<br>Альтернатива, которую нам предлагают, нас не устраивает.<br>Нам очень нужна земля. Мы хотим построить дом. И всё это необходимо бы в Перми, а не в Кунгуре, Чердыни и т.д.;Оказание гос. соц. помощи;6
12584;ИГЖН ПК;ЖКХ;'[club197807915|ИГЖН Пермского края], добрый вечер.<br>Вы (ИГЖН) выписали предписание Новинкам, в котором написано, что до 23 МАРТА они дрлдны нам починить крышу (за зиму разбили всю) и замазать разводы в квартирах и подъездах. Так как дело было, когда снег лежал, Новинки взяли отсрочку 90 дней (до 24 июня)... 25 марта мы по суду!!! нсконец-то ушли от Новинок . Теперь, эта горе-УК хочет уйти от выполнения своих обязательств по ремонту крыши (исполнения предписания ИГЖН)...<br>И куда Вы смотрите, стесняюсь Вас спросить??? Почему не следите, как исполняют ваши предписания?;Жалобы на управляющие компании;7
12585;Министерство социального развития ПК;Социальное обслуживание и защита;'Добрый день) напишите, пожалуйста, ответ на вопрос, цитирую :ПОДАЛА ЗАЯВЛЕНИЕ НА ПОСОБИЕ С 3-7, 28 МАРТА, ЗАВЛЕНИЕ НА ПЕРВОМ ЭТАПЕ, ЗАРЕГИСТРИРОВАН, И ВСЁ. ЧИТАЯ ИНФОРМАЦИЮ, ЧТО ЗАЯВЛЕНИЕ РАССМАТРИВАЮТ В ТЕЧЕНИЕ 10 ДНЕЙ, ДАЛЕЕ, +20 ДНЕЙ - ЖДУТ ОТВЕТЫ НА ЗАПРОСЫ, ЕСЛИ НЕОБХОДИМО, В МОЕЙ СИТУАЦИИ, ЧТО - ТО ПОШЛО НЕ ТАК... (ЗАЯВЛЕНИЕ ПОВТОРНОЕ, Т. Е. ПОЛУЧАЛА УЖЕ);Оказание гос. соц. помощи;8
12591;АО ПРО ТКО;Мусор/Свалки/ТКО;'Добрый день!<br>Обращение от жителей Орджоникидзевского района,Гайва.<br>Адрес-Писарева,7<br>На протяжении 5 дней,по вечерам а/м Газель складирует на площадке для твердых бытовых отходах ящик деревянный и пластмассовый в больших количествах.<br>Плюс жители близлежащих домов складируют свой крупногабаритный мусор(диваны,шкафы и т.п.)<br>Когда мы подошли к водителю Газели и спросили,почему он именно на нашу площадку жилых домов,которая построена за деньги жителей и оплачивается ими же,свозит ящики,нам ответили,что он заключил договор,на вывоз мусора на площадку по адресу:<br>Писарева,7.<br>В данный момент сложилась пожароопасная ситуация,ящики развалились за территорию огороженной площадки.<br>Жители домов собираются писать обращение в соответ.службы с жалобами на запрет складирования ящиков от овощных магазинов.<br>Примите во внимание,последует от нас обращение в администрацию Орджон.района;★ Уборка/Вывоз мусора;6
12670;Министерство социального развития ПК;Социальное обслуживание и защита;'Уважаемые органы минсоцразвития Пермского края, в СВЕРДЛОВСКОМ районе, прошу, рассмотреть моё обращение. Я, Фомичева Татьяна Михайловна, ранее подавала на пособие с 3-7лет, на дочь-Фомичеву Светлану Антоновна 20.06.2017г/р, неоднократно, приходил отказ в выплате, из-за наличия трёх автотранспортных средств, по факту, в семье 1 автомобиль, 2 автомобиля были проданы, в 2014 и в 2016 г, но не поставлены на учет новым собственником, таким образом, автомобили числились, на продавце, т. е., на моем муже. Про автомобили мы узнали, когда впервые получили отказ в пособии. Обратившись в МРЭО ГИБДД, не смогли снять с учета, данные автомобили, т. к. на них был наложен арест, Из-за накопившихся штрафов, и автотранспортного налога. Общая сумма долга, составляла -48000 рублей, разово погасить такую сумму, не представлялось возможным, оплачивали частями, 27 декабря , оплатили последний запрет, 28 декабря, сняли с учёта, по предоставлению договора купли-продажи, от 2014 и 2016г.В связи с этим, прошу, точечно рассмотреть мое обращение, и проработать комплексно, взяв во внимание, что на момент подачи заявления на пособие, в семье был 1 автомобиль, 2 автомобиля были проданы, но не сняты с учета.<br>16.07.21,подавала заявление на пособие, на продление и компенсацию с 3до7, в августе пришел отказ, Из-за наличия трех автотранспортных средств, в ноябре писала объяснительную, приложив договора купли-продажи автотранспортных средств, за 2014 и 2016 г, но пришел очередной отказ, т. к. комиссия опиралась на данные МРЭО ГИБДД, в заявлении, прописала, что нет возможности снять арест, и снять с регистрационного учета автомобили, которые давно проданы. Знаю, что данные вопросы, решаются через СОВЕТ МАТЕРЕЙ РФ, почему нельзя точечно рассмотреть обращение, комплексно проработать нуждаемость в пособии<br>.;Оказание гос. соц. помощи;10
12748;ИГЖН ПК;ЖКХ;"'Добрый день! К вам снова обращаются жильцы МКД по адресу: г. Соликамск, ул. 3-й Пятилетки, д. 24. В ноябре 2021 г. было обращение в отношении обслуживающей организации ООО ""Жилстройкомфорт"". Был получен ответ от ИГЖН о немедленном прекращении данной организацией выставления счетов за обслуживание нашего дома, в связи с расторжение договора. Но, сегодня, 02.02.22 снова пришли квитанции. Просим провести проверку по исполнению предписания ИГЖН, так как оно не исполнено.";Жалобы на управляющие компании;5
12754;Министерство здравоохранения;Здравоохранение/Медицина;'Оля Паздникова, сегодня в 22:57<br>Здравствуйте<br>Оля Паздникова, сегодня в 22:58<br>Срочно жду вашего ответа!<br>Оля Паздникова, сегодня в 23:01<br>Беляев Дмитрий травматолог уже месяц и две недели с 1 ноября пишет заключение мне на МСЭК. 31 декабря у меня заканчивается справка МСЭК. Я не успеваю в срок на переосвидетельствование. Осталось 17 дней. Он меня каждый день кормит обещаниями и так каждый год мне нервы тратит. Обращалась в 63 кабинет за помощью, не помогли. Прошу Вас помогите мне пожалуйста.<br>Оля Паздникова, сегодня в 23:06<br>На справке написано что 1 декабря я должна ехать на переосвидетельствование. Сегодня 13 уже декабря.;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи;6
12832;Министерство здравоохранения;Социальное обслуживание и защита;'Добрый день. Хочу сообщить о том как работают у нас в больнице им. Вагнера. Мне дали направление в центре занятости на работу в больницу. Нужно было подойти по адресе, как указали в центре занятости, ул. Ломоносова 102 каб.6 или 26. Пришла вчера на ул. Ломоносова 102, в регистратуре сказали, что это надо идти в семиэтажку. Пришла, кабинет закрыт. Прождала 40 минут,так как в соседнем кабинете сказали, что она здесь, скоро подойдёт. Затем спросила в приемной, когда подойдёт. Меня отправили в 26 кабинет. Подошла, говорю, что я на собеседование на счёт работы. Мне отвечают, это не к нам , а на Советский проспект 73. Снова пошла ,уже на Советский проспект. Там мне сказали, работа шестидневка и бывает, что нужно будет ехать в Усолье. Зарплату пообещали аж 12500. Печать ставить нужно ехать на Ломоносова 102. Я ответила ,что в центре занятости другая информация. И отказалась. Сегодня 16.06.2022 года приехала на Ломоносова 102, чтоб поставить печать для центра занятости, в Каб. 26 мне ответили нетрезвые работники, что они не работают, так как у них мероприятие. В 6 кабинете опять ни кого нет. Ждала 40 минут. Завтра в отделе кадров не приемный день, мне нужна отметка, т.е. печать. Как быть? Не наше дело, вот ответ работников отдела кадров.;Занятость и трудоустройство;6
12837;Лысьвенский городской округ;Благоустройство;'Добрый день, проживаю Фестивальная 10, не приятно смотреть, как (извиняюсь) засрана Южная сторона травянского пруда. Интересно, северная сторона, с ул. Смышляева и Пр. Победы приводят берега в порядок, а со стороны Фестивальной забыто? Чей участок? Куда обращаться?;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь);5
12861;Министерство социального развития ПК;Социальное обслуживание и защита;'Здравствуйте, подала на заявление на продление Путинских пособий через сайт Госуслуги. Там справки никакие не требовались. Теперь переживаю, вдруг откажут из за отсутствия справок или я что то не так могла заполнить, и я могу потерять месяц в выплатах.<br>Подскажите пожалуйста, можно ли через вас узнать одобрены ли мне выплаты далее.<br>Шулепова Виктория Викторовна 08.02.1992. ребёнок Шулепова Алиса Стасовна 29.05.2020.;Дети и многодетные семьи;5
12931;Министерство здравоохранения;Здравоохранение/Медицина;'Здравствуйте!<br>Прошу помочь мне в данной ситуации.<br>12 мая в 13:34 у меня запись на комиссию в ПКОД (госпитализация).<br>Для этого мне выдали перечень необходимого обследования.<br>5 мая я записалась на ЭКГ и анализы.<br>Так же врачи по перечню. Но есть один врач без которого мне терапевт не даст заключение к операции это кардиолог.<br>К кардиологу меня записала поликлиника 133 (оператор) на 12 мая в 12:20 врач Мунирова.<br>Я объясняю оператору ,что мне нужно попасть ранее на прием. Ведь 12 мая уже день назначенный.<br>Мне в регистратуре 133 сказали,что мне нужно успеть доехать от М.Жукова 35 до Торговой,5 к терапевту взять заключение у терапевта и ехать к 13:34 на Баумана, 15.<br>Позвонила в 133 поликлинику (прикрепление мое в данной поликлинике), оператор посоветовала позвонить в поликлинику кардиологии М.Жукова, 35. Оператор в регистратуре соеоенила с врачом Мунировой, к которой у меня запись. Она мне сказала,чтобы я искала другого врача.<br>Позвонила вновь я в 133 , мне оператор сказала,что это единственная врач. Больше нет никого.<br>Сказали успевать на приемы.<br>Извините, пожалуйста, но я не успею никак за такой короткий промежуток времени это сделать.<br>Обратилась в страховую компанию. Они мне помочь ничем не могут отправили обратиться к министру здравоохранения.<br>Я позвонила по номеру +73422177900<br>, Меня не выслушали и сказали 4(!!!) Раза позвонить по номеру 122.<br>Но по этому номеру мне сказали,что вообще отношения никакого не имеют к поликлинике М.Жукова ,35.<br>Помогите мне, пожалуйста!;Технические проблемы с записью на прием к врачу;7
13054;Министерство социального развития ПК;Социальное обслуживание и защита;'Для Правительства Пермского края!!! Была написана информация,что средства оставшиеся с того года будут распределены.<br>.Мне с какой стати отказали в помощи на Бульваре Гагарина,10..на комиссии.я малоимущая,одинокопроживающая,инвалид 2группы...я имела дополнительный заработок,пока меня за замечание постоянных пьянок и гостей в маневренном фонде, где я живу в комнате,меня избили...попорьили мне здоровье,что сколько я потратила денег и сейчас продолжаю тратить на лекарства...<br>потеряла дополнительный заработок....никто не наказан...у нас в крае нет помощи в трудной жизненной ситуации ни от МВД и ни от Правительства??? А вот за что получает деньги человек который на сайте Дмитрия Махонина сидит....ему вопросы пишу,он читает и не реагирует...так же и сотрудники пресс службы губернатора....читают и не реагируют....скриншоты могу предоставить....Мне где помощь получить,и где справедливость тогда?;Оказание гос. соц. помощи;5
13056;Город Пермь;Дороги;'[club57433185|Пермь Первая], улица Солдатова от Куйбышева до Солдатова, 26 - обе стороны, ул. Серебрянский проезд - полностью, Веутриквартаотный проезд от солдатова, 28а до Солдатова 30а;Ремонт дороги;5
13060;Министерство здравоохранения;Здравоохранение/Медицина;'Пятница, 16.09.2022 г., 10 часов утра. В больнице м/р Заводской, наверное, не всем сегодня удастся попасть на прием к педиатру, который работает с 8 до 12 часов. Почему на столько микрорайонов (Заводской, Рейд, Мясокомбинат, Матросово, Ново-Матросово, Ласьва) один педиатр?! Терапевтов в нашей больнице на данный момент вообще нет! Одна в отпуске, вторую, что оставалась, отправили на Чапаева работать. Что вообще такое творится? Полный беспредел!<br>Анонимно.<br>#chtonetak@krasnokamskslava;Нехватка или сокращение врачей и медицинских учреждений;7
13087;Город Пермь;Дороги;'Пермь г, +79128868982. Добрый день! Проекты - это хорошо, отлично. Но почему ту же Улицу Крупской не могут просто заасфальтировать. Сделали около Ленты - отлично (спасибо Ленте), люди просто в восторге. Что мешает хотя бы сделать ровный асфальт от П.Лумумбы до  Ушинского? Посмотрите, сколько там людей каждый день, с детьми. Людям по сути больше и пойти некуда в этом районе Мотовилихи. неужели это настолько масштабный проект, что его нужно выделять и сравнивать с другими?;Ремонт дороги;5
13132;Город Пермь;Дороги;'Сделайте ещё пожалуйста пешеходную дорожку по ул. Пензенской, от Магистральной до Б.Хмельницкого где склады Годовалово!!! Там многие мамочки с колясками в детскую поликлинику ходят, в соц защиту, когда дождь и слякоть там вообще ходить не возможно, ещё и через жд дорогу перебираться неудобно и не безопасно!!!!<br>Ещё пожалуйста сделайте дорожку в лесу на Богдашке напротив дома Ласьвинская 62 , переход есть через дорогу а дороги в лесу нет, в дождь и слякоть невозможно ходить, там и дети в школу идут и родители с детьми в детский сад и детскую поликлинику!!!;Содержание, ремонт и обустройство тротуаров;5
13168;ИГЖН ПК;ЖКХ;'Доброй ночи.<br>Жители дома по Черняховского,64<br>В Перми полный БАРДАК,на бездействия управляющих компаний не кто не реагирует!Управляющая компания дома по ул.Малкова 10 УК ДСТ П дом Не обслуживает,заявки с 2021 года не выполняются,на детскую площадку падает дерево ,бью тревогу с июля2022года наклон дерева все больше,не кому не чего не надо.<br>Обращалась в Админ.Дзер.района,Админ.города Перми,но увы не каких сдвигов???<br>Управляющая компания ДСТ П ждёт когда дерево упадет на ребёнка играющего на детской площадке!<br>Вот такой беспредел в Перми!<br>Хоть в какую дверь случись,не кто жильцов не слышит,только деньги с домов сниматься управляющей компанией а за что не понятно!;Жалобы на управляющие компании;9
13174;Министерство здравоохранения;Здравоохранение/Медицина;'Сегодня столкнулась с новым квестом. Это больница п. Яйва. Чтобы пройти комиссию: за неё надо оплатить, потом съездить в Вильву к наркологу, но самое главное — это заключение!<br>Оказывается его ставит гл. врач Золотова. Для этого нужно ехать в Александровск! Так и это еще не всё! Позвонила узнать часы приема гл. врача, мне ответили в регистратуре, что они не знают её часы приема! А может она и не принимает завтра. Позвонила в регистратуру п. Яйва с этим вопросом, мне ответили— ничем помочь не можем.<br>Что за издевательство над людьми! Кто хоть когда-нибудь что-то знает? Когда был гл. врач в Яйве было всё по-другому! Нафига нашей больнице гл врач. в Александровске???! И почему бы не говорить людям честно, что здесь комиссию вы в полном объёме не пройдёте, придётся заморочиться, потратить деньги и нервы!!!;Технические проблемы с записью на прием к врачу;5
13202;Лысьвенский городской округ;Дороги;"'Нам пишут из Лысьвы:<br>Очень долго думала,написать или нет,но после прогулки по нашему городе решила,надо написать.<br>Это что у нас в городе происходит,после того как мэром поставили Федосеева Никиту.Ужас!Начну с новой стройки в поселке ""Ордженикидзе"" испортили асфальт со всех сторон и даже проезжую часть,но новый делать не собираются,а как людям ходить по такой грязи? Дети в школу? Организация стройки отсутствует полностью. Дальше,мусорные баки переполнены,давно такого не видела,по край не мере на Делегатской36. Куча мусора лежит уже несколько недель,вонь ужасная от нее,не приятно ходить мимо этого места.Платим мы регулярно и не мало,а за что? Непонятно. В центре дворники видимо тоже не работают,если на ул,Мира мусор валяется.<br>Уверена,что есть еще не мало проблем в городе,которые администрация переносит,то на год ,то на 10 лет.А людям нужно сейчас.<br>Почему,не спрашивают народ,кого хотят видеть мэром города Лысьвы?<br>👉 @chp_chus59";Ремонт дороги;5
13213;Город Пермь;Общественный транспорт;'Здравствуйте. Что за бардак твориться на маршруте 33?<br>Ехали 5 янв.из города Сердца в 16:10 час., на остановке Ива-1 ни водитель, ни кондуктор НЕ ПРЕДУПРЕДИЛИ Что у них в Костарево длителтеый обед (в расписании это тоже нигде не указано!). По прибытию на ост Костарево водитель заставлял выходить из автобуса на мороз, грубил. Можно обязать кондукторов ПРЕДУПРЕЖДАТЬ на остановке Ива-1 о предстоящем длительном перерыве???;График движения общественного транспорта;5
13243;Город Пермь;Дороги;"'Сегодня не могла уехать до ост. Изоляторный завод (маршрут автобуса 44 ""Камский-Нижняя Мостовая"") Он и так один раз в 30 ходит (по расписанию) , а из-за пробки на Камской ГЭС его вообще не было! Восемь!!!!! автобусов стояли в пробке на перегоне Гайвинский рынок-Набережная!!!! В итоге опоздала на работу к 8.30 (автобус по расписанию с ост ""5 Микрорайон"" должен идти в 7.45!!!! Ехать до ост ""Изоляторный"" минут пятнадцать) Это же невозможно!!!! Как-то отрегулируйте движение общественного транспорта!";Пробки;6
