;Исполнитель;Группа тем;Текст инцидента;Тема;num_ner
17989;АО ПРО ТКО;Мусор/Свалки/ТКО;'Здравствуйте! Меня зовут Федотова Елена Максимовна адрес: 614067, г. Пермь, ул. Ветлужская 58-162. Мой муж Федотов Владимир Михайлович приобрел земельный участок в СНТ «Березка-Строй» юридический адрес: 617072, Пермский край, г. Краснокамск, д. Мишкино.<br>В 2022 году у нас установили площадку для накопления мусора, однако контейнеров не установили.<br>Прошу сообщить, заключал ли с вами договор по вывозу ТКО председатель СНТ «Березка-Строй»?<br>С Уважением Федотова Елена Максимовна.;Проблемы с контейнерами;11
18062;ИГЖН ПК;Мусор/Свалки/ТКО;'от гр.Гимадиевой О.Ф.<br>прож.: г.Губаха,пр.Ленина, 34-23<br>Тел.:89504728083<br>Заявление<br>Прошу принять меры, по поводу сброса строительного мусора с высоты, с крыши дома, на прилегающую придомовую территорию.<br>К сожалению, работники подрядной организации , а точнее мастер, сказал, что сброс мусора продолжится и мы можем жаловаться, куда хотим, что за наш дом не хотели браться вообще и их уговорили, придётся «потерпеть».<br>Я понимаю, что идет ремонт (мы этому рады и благодарны, за кап.ремонт средства не зря платим) и мусор необходимо куда-то девать, но для этого существует спец оборудование, спец желоба для спуск мусора или кран и тд. для вывоза и спуска с высоты, что и делают другие добросовестные подрядчики, что как правило включено в смету по выполнению работ.<br>Также данный способ , а точнее выброс кирпича, шифера, досок и т.д. с высоты, нарушает технику безопасности труда в строительстве (п.8.2.2. СНиП от 12.03.2001, п.4.2.8 СНиП от 12.04.2002), также нарушен закон о охране окружающей среды ч.1 ст.751 ГК РФ, также может причинить вред и смерть человеку, также велик риск порчи имущества жильцов дома с чьей стороны скидывают данный строительный мусор, а именно разбитые окна, что также может повлечь опасность для жизни человека, если он в данный момент будет находиться рядом, а также нарушается закон о тишине и тихом часе для детей.<br>Согласно закона, сброс строительного мусора запрещен более чем с 3 метров, дом 3 этажа+цоколь.<br>Мусорная гора достигает уже первого этажа, с учетом, что цокольный этаж у нас очень высокий. Фото прилагаются.<br>Также сброс мусора никто не контролирует внизу здания. Делалось это только первых 2 дня, затем про технику безопасности все благополучно забыли видимо.<br>Не говоря уже про то, что нарушается закон об отходах производства и потребления, согласно ст.46, №29-15 от 31.10.2007г, складирование по группам и классам опасности., чтобы утилизировать их максимально безопасно для людей и окружающей среды.<br>Места складирования строительного мусора также должны быть оборудованы так, чтобы не наносить вред людям и окружающей среде, что также не соблюдено.<br>На протяжении 2 недель мы не можем открыть окна, т.к. очень много строительной пыли при выкидывании летит в окна, дома нечем дышать, а это вред здоровью, сказывается на легких, также загрязняется мебель в доме, дополнительная стрика и уборка, что влечет финансовые расходы с нашей стороны. Люди, что проходят мимо, также все в пыли и грязи. В обеденное время и сон час для детей, они вздрагивают от грохота, что может повлечь заикание ребенка и нервный тик во время резкого пробуждения от резких и громких звуков.<br>С нашей стороны строительный мусор закончился и разбор дошел уже больше чем до половины дома. Просьба, чтобы подрядчик с нашей стороны строительный мусор больше не скидывал, пусть скидывают уже с другой торцевой части дома, там точно такое же расстояние до дороги и места хватит. что конечно же подрядчик наврятли сделает, тк весь это беспорядок и беззаконие будет на глазах у людей и жалобы себя не заставят долго ждать.<br>Просьба проконтролировать вывоз ТБО в кротчайшие сроки, т.к. он мешает проходу людей на пр. Ленина, т.к. тротуар засыпан и люди не могут осуществить проход на центральную часть дороги пр. Ленина. Привести территорию в порядок, провести озеленение, как было до этого.<br>15.07.2022г. Гимадиева О.Ф.<br>Копия отправлена в: УК «Городской уют», Прокуратура г.Губаха и г.Пермь, ЖКХ г.Губаха, Управляем вместе, Министерство экологии и окружающей среды, ассоциацию строителей (НОСТРОЙ), Администрация г.Губаха, Губернатуру Пермского края Махонину Д.В.;Выброс мусора нарушителем;11
18790;Министерство здравоохранения;Здравоохранение/Медицина;"'Добрый день! В пос. Новая Светлица большая проблема с медициной! Фельдшер Сергей Геннадьевич - человек с большим добрым сердцем, готовый всегда прийти на помощь в любое время суток, готовый нести на себе больного человека до лодки, чтобы экстренно доставить в больницу. Можно ли решить вопрос с машиной скорой помощи для доставки на берег больного человека и с моторной лодкой, чтобы в летнее время доставлять по реке пациента. 11 февраля 2018 года у моего дедушки Корякова Николая Константиновича внезапно случился ишемический инсульт. Слава Богу, что была зима и действовала ледовая переправа. Родные тут же выехали из города Березники на машине, забрали дедушку, фельдшера Сергея Геннадьевича и увезли в ближайшую работающую больницу в с.Коса. Врач, осмотрев дедушку и уточнив его возраст тут же сказал диагноз ""эпилепсия"". Вернувшись домой из Косинской больницы без какой-либо помощи было решено экстренно госпитализировать дедушку в город Березники. Огромное спасибо врача скорой помощи и всем врачам Второй городской больницы города Березники за экстренную госпитализацию, за точный диагноз и оперативно назначенное лечение. Я даже боюсь представить, что могло бы произойти, если бы мы не приняли этого судьбоносного решения и сами не приехали на машине за дедушкой. Весной и осенью постоянная проблема с дорогами и переправой через реку. Пока надежно не встанет лед поздней осенью, либо весной не откроется река, люди полностью отрезаны от основной дороги. Мои дедушка и бабушка - дети войны. Таких жителей в поселке очень много, большинство пенсионеры. Неужели они не заслужили хорошей оперативной медицинской помощи?<br>С уважением, К.В. Гаджиева (внучка Корякова Н.К.)";★ Скорая помощь;11
18970;Город Пермь;Строительство и архитектура;'Нет гримерок и мастерской: худрук театра «У Моста» о состоянии здания 🎭<br>Художественный руководитель и основатель пермского театра «У Моста» Сергей Федотов в интервью РБК Пермь рассказал о нынешнем состоянии здания театра и о возможных местах, куда бы он мог переехать, а также об обещаниях властей выделить для театра цех Завода Шпагина.<br>👉🏻 О пожарных требованиях к действующему зданию:<br>– Это старая история, с каждым годом те пожарные условия, которые существуют, становятся все строже и строже. Если в начале мы могли перестраивать театр во время того, как играли спектакли, то сейчас есть такие предписания, которые можно устранить только выехав из здания.<br>👉🏻 «Куда театру выехать?»:<br>– Но возникает вопрос: куда театру выехать? О новом здании говорилось уже давно. Лично я несколько лет уговаривал администрацию о том, чтобы театру отдали дворец культуры «Телта», в котором более 30 лет назад театр «У Моста» начинал свою работу. Он стоял 5 лет пустой и все это время я уговаривал передать его театру. Конечно, мы сейчас находимся в прекрасном здании, но не хватает места для зрителей, даже учитывая, что у нас есть три зала: на 200, на 100 и на 80 зрителей. Тем не менее, все желающие не могут попасть в театр. Давным-давно об этом говорим. Кроме того, в театре отсутствуют мастерские. Любой театр должен изготавливать декорации, шить костюмы, а здесь нет таких помещений. Также как и нет гримерок, артисты «по уголкам» гримируются.<br>👉🏻 О варианте с ДК ВКИУ:<br>– Помимо ДК «Телта», мы просили отдать нам бывший ДК ВКИУ, который вообще лет 15 просто так стоял перед тем, как его выкупил частный покупатель. Проблема со зданием существует уже лет 20, дворец «Телта» снесли, в бывшем ДК ВКИУ планируют разместить Дворец молодежи, хотя в Перми уже есть Дворец молодежи – это бывший ДК им. Дзержинского.<br>👉🏻 О Заводе Шпагина и клубе УВД:<br>– На Завод Шпагина возлагались большие надежды. Приказом бывшего губернатора Максима Решетникова, нам уже выделили цех №5, мы уже сделали эскизный проект, но с приходом нового губернатора это почему-то было отменено. Без разъяснений. В прессе также говорили о бывшем клубе УВД, вполне можно было и там разместиться. Но по-моему помещение для каких-то иных целей рассматривается сейчас.<br>👉🏻 О решении властей и сносе склада театра:<br>– Итогового решения не принято, здание все еще ищут. Но те, которые рассматривались, распределены под другие проекты. Конкретики со стороны властей нет никакой и более того, все как всегда: театру исполняется 33 года, что-то обещают и все снова отменяется. Ничего не меняется. Летом еще снесли наш пристрой и склад декораций. Мы еще остались без склада. Сейчас они перенесены в пожарную колончу, но в любой момент нас могут выгнать оттуда. Власти обещали выделить 8 млн руб. на склад декораций, его снесли и ничего не выделили.<br>👉🏻 Об обещаниях выделить квартиры артистам:<br>– Кроме того, нам в свое время обещали квартиры для артистов, так как многие из них приезжие. Но ни одной квартиры за все время существования театра выделено не было. Хотя другие театры спокойно получают квартиры и размещают там приезжих артистов. Театр «У Моста» практически все доходы тратит на размещение артистов. Тоже самое с транспортом, обещали, но не купили.<br>👉🏻 О том, зачем нужно новое помещение:<br>– Помещение нам нужно для того, чтобы временно туда переехать и играть спектакли, а в нынешнем здании сделать полноценный ремонт для выполнения всех пожарных предписаний. Впоследствии, хотелось бы иметь один большой зал на 300-400 человек, чтобы вместить всех желающих зрителей. И оставить помещение, которое есть сейчас.;Состояние зданий учреждений и организаций;21
19787;Министерство здравоохранения;Здравоохранение/Медицина;'Добрый день!<br>Прошу рассмотреть моё обращение!<br>Во вторник 26.07.2022г моя мама (Лепихина Валентина Алексеевна 30.05.1953гр) пришла на приём к терапевту в поликлинику №3 ГБУЗ ПК ГКП № 5, где после осмотра врач-терапевт выписала ей направление Cito! в стационар ГКБ №7 в кардиологическое отделение с подозрением на инфаркт (с собой был результат ЭКГ). Приехав в больницу её отправили домой,сказали, что больница не резиновая, для всех мест нет! Написали номер телефона отделения, звоните сами и узнавайте примут вас или нет.<br>27.07.22г (среда) утром позвонили в отделение, нам ответили приходите к 10 часам. Приехали, врач посмотрела направление, сказала, что не правильно написан диагноз: Гипертонический криз и Нестабильная стенокардия. Отправила в поликлинику переписывать направление, так как первый диагноз стоял терапевтический, их надо местами поменять! И повторно звоните в отделение, узнавайте положат вас или нет. В поликлинике всё исправили так как сказала врач или мед.сестра (они не представляются). вечером позвонили в КО, пригласили маму на завтра к 10 часам.<br>28.07.2022(четверг)приходим к 10 часам в прием. отделение, опять не принимают, говорят, что были КОВИДНЫЕ, сейчас палаты обрабатывают, отправили домой со словами приходите завтра!!!<br>29.07.22г.(пятница) пришли к 10 часам, в приемном отделении кардиологии молодой мужчина (врач или мед брат они отказываются представляться), сказал, что вашей фамилии нет в списках, принять мы вас не можем (напомню в направлении Cito!), посмотрел направление, сказал, что не правильно написан диагноз, надо написать вместо НЕстабильная стенокардия- СТАБИЛЬНАЯ стенокардия, отправил в поликлинику! Я сказала, что мы уже 4 дня к вам ходим, каждый день разные отговорки и я буду жаловаться на такое отношение к пациентам в страховую компанию и в министерство здравоохранение, спросила его фамилии, он отказался мне её назвать. Позвонил при нас заведующей отд, она видимо ответила, что принять пациента, а я в это время сама съезжу в поликлинику для смены диагноза в направлении. Пока я ездила, маме провели осмотр и сделали ЭКГ,сказали: У вас инфаркт, мы здесь инфаркты не лечим!!!<br>В итоге всё таки положили в КО, так как у мамы поднялось АД до 175.<br>Я ПРОШУ оказать содействие в решении полного обследования моей мамы, которая в настоящее время находится в ГКБ № 7 (ул. Г. Хасана, 24) в КО Лепихина Валентина Алексеевна 30.05.1953гр с подозрением на инфаркт. И сделать выговор специалистам приемного отделения<br>С уважением Кротова Татьяна Юрьевна (т.89655677050)<br>Проживающая по адресу г. Пермь ул. Самаркандская 147-183;Хамство медицинских работников;14
20185;АО ПРО ТКО;Мусор/Свалки/ТКО;'Мы жильцы МКД проживающие по адресу город Соликамск ул. Розы Люксембург дом 6 (кв № 3- Козлов Антон Петрович и кв № 6- Мельникова Людмила Демьяновна) ТРЕБУЕМ ОТМЕНЫ за незаконно взятые пени по ТКО. Долгое время регоператор не выставлял нам счет за вывоз мусора ( единственная квитанция пришла 11 декабря 2022 года), следовательно плата не начислялась (пени начисляются ТОЛЬКО за просрочку платежа), у нас не было достоверной информации об услуге (состав ст.14.8 КоАП РФ) и оплачивать мы не могли.<br>Наше УК, начиная с конца 2018 года не однократно отправляла Вам списки проживающих в нашем доме, но не понятно куда информация пропадала?<br>Пришедшая квитанция выставлена с нарушениями и не известно откуда взятыми данными?<br>По кв № 3- в квитанции не верно указан метраж квартиры.<br>По кв №6- Квитанция пришла на имя Мельниковой Евгении Владимировны, которая выписана из данной квартиры в 2015 году.<br>Из выше перечисленного следует, что по Вашей вине и халатного исполнения Вами своих должностных обязанностей, у нас накопился такой долг по оплате ТКО и не правомерно взятые пени, которые были начислены за то время, когда квитанция не приходила.<br>Просим:<br>Предоставить информацию по тарифам с 1 января 2019 года по сентябрь 2022 года.<br>Произвести КОРРЕКТНЫЙ перерасчет основной суммы долга (она завышена).;Плата за вывоз ТКО;11
20210;Александровский муниципальный округ Пермского края;Благоустройство;"'Здравствуйте! 1. Вопрос по универмагу. Достаточно большое количество жителей АЛЕКСАНДРОВСКА жалуются на то, что возле Универмага не где посидеть в ожидании межмуниципального автобуса или даже спрятаться от дождя, что ощущается в 4 утра. Большая просьба посодействовать в обустройстве временной что ли хотя бы остановки с крышей и двух-трёх лавочек, пока касса не работает. Как Вы себе представляете ожидание автобуса на улице под дождем в 4 утра, если даже в Универмаге не спрятаться?https://vk.com/wall-63251173_648352 Народу в Александровске может сесть возле Универмага одновременно 30 человек, а если в сильный дождь, то что им делать? 2. когда на остановках ГКУ ""ОПП"" повесит расписание автобусов? 3. https://vk.com/wall-63251173_647622 - обратите, пожалуйста, внимание и передайте подрядчику замечание. 4. Каков статус заявки филиала больницы Вагнера г.Александровск на поставку к нему нового флюорографа? Каковы примерные сроки? Прошу про Яйву и передвижной флюорограф мне не писать. 5. Когда вопрос про покупку сетей водоснабжения города Александровска у АМЗ будет обсуждаться на уровне Д.Н.Махонина и Министерства ЖКХ? Какие-то подвижки уже должны начаться. https://vk.com/wall-183771914_3024";Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь);12
20230;Губахинский городской округ;ЖКХ;"'Прошу Вас проверить правомерность принятия решения о передачи дома № 77 по улице 2 Коммунистическая, РП Углеуральский, из Управляющей компании ИП Значковский Э. Н., находящейся по адресу г. Губаха, ул. Павлика Морозова, д. 16 в Управляющую компанию ООО «УК Прикамский дом», расположенной в городе Лысьва. Генеральный директор Колегов Константин Дмитриевич.<br>Жителей нашего дома о передаче дома в УК « Прикамский дом» известили 2 декабря 2022 года и сообщили что, по вине жителей и собственников жилья, о несостоявшемся собрании о выборе Управляющей компании.<br>О проведении собрания собственников жилья и никто из жителей дома не был предупрежден. Извещения собственникам жилья о проведении общего собрания о выборе управляющей компании предоставлены не были. 2 декабря 2022, по инициативе собственников жилья и жителей дома, общим собранием вынесено решение решения о выборе управляющей организации «ИП Значковский», расположенной по адресу; г. Губаха, ул. Павлика Морозова, д. 16, в целях заключения с ней договора управления, правомерность утверждения условий этого договора и его заключения, в многоквартирном доме по адресу: г. Губаха, РП Углеуральский, ул. 2 Коммунистическая, д.77<br>Указанные решения Управления жилищного - коммунального хозяйства и строительства при Администрации Губахинского района жители и собственника жилья считаем незаконными по следующим причинам:<br>- не было проведено собрание собственников жилья; - по утверждению Целищевой Екатерины Дмитриевны главы Управления жилищно -коммунального хозяйства и строительства при Администрации Губахинского района, собрание не состоялось, якобы по причине не явки собственников жилья на собрание (а как они могут явится не зная о проведении собрания); - со слов Целищевой Е.Д.: собрание проводилось во время ее рабочего дня, когда работоспособное население находилось на работе; - собрание не поводилось, потому что не было оповещения (объявления) о проведении собрания, указания места проведения собрания и о выборе способа голосования (очное, очно – заочное).<br>В настоящее время, управляющая компания ОО»УК «Прикамский дом», не имея в своем штате работников, для обслуживания жилого фонда, взятого в управление в РП Углеуральский, издал такой документ, где указал номера телефонов аварийных служб города!? (газовая служба, МУП «Водоканал Углеуральский», МБУ «Тепловые сети Углеуральский; Электросети).<br>В результате с 02.12 2022 придомовая территория содержится недопустимым образом, а именно: двор утопает в снегу, так как, ни разу не проводилась уборка снега. В доме проживает большое число пенсионеров, к нашему дому не сможет, подъехать ни скорая помощь, ни аварийная служба.<br>Мы, жильцы дома не получаем в полной мере коммунальных услуг по содержанию жилья, за которые мы должны будем платить.<br>Просим вернуть наш дом, находящийся по адресу г. Губаха, ул. 2 Коммунистическая 77, обратно в управляющую компанию ИП Значковский Э. Н., так как считали работу этой компании удовлетворительной.<br>Старший по дому:<br>Метёлкин Александр Васильевич";Жалобы на управляющие компании;30
20934;Город Пермь;Дороги;"'Куда парковать личный транспорт жителям домов, входящих в зоны платных парковок?? На внутридомовых территориях не везде предусмотрены стоянки. Не хватает места на уже устроенных стоянках. Почему страдают жители города?<br>> ['🚗 С 28 ноября в Перми начнёт работу новая тарифная зона платной парковки\n\nНовая тарифная зона №102 расположена внутри действующей тарифной зоны платных парковок №101. Размер платы за пользование парковкой здесь составит 30 рублей в час. \n\nЗона №102 с размером платы 30 рублей в час ограничена улицами:\n– Попова от улицы Монастырской до площади ЦКР;\n– Пушкина от улицы Попова до улицы Краснова;\n– Краснова от улицы Пушкина до улицы Сибирской;\n– Сибирская от улицы Краснова до улицы Революции;\n– Революции от улицы Сибирской до улицы Максима Горького;\n– Максима Горького от улицы Революции до улицы Монастырской;\n– улица Монастырская от улицы Максима Горького до улицы Попова.\n\n👆🏻При оплате через приложение или сайт программа автоматически покажет стоимость, соответствующую выбранной зоне платной парковки.\n\nАвтомобилисты смогут также приобрести абонементы для парковки в зоне №102 на длительные сроки: 10, 20, 40, 60 и 120 рабочих дней.']";Организация парковок;19
21006;Город Пермь;Экология;"'Добрый день. Я по поводу Андроновского пруда. Вы отвечали мне в ВК губернатора: На вашем фото пруд на р. Брюханиха, расположенный в Индустриальном районе г. Перми.<br>В июне прошлого года Минприроды заключило государственный контракт на выполнение работ «Расчистка русла р. Брюханиха в г. Перми (в т.ч. Андроновского пруда № 1, Андроновского пруда № 2)».<br>В настоящее время подрядчик работы на объекте не проводит, замечания по не надлежащему выполнению работ не устранил, поэтому Минприроды подготовило решение об одностороннем отказе от исполнения работ.<br>Возобновление работ на объекте планируется после вступления в силу указанного решения и заключения по результатам проведения электронного аукциона государственного контракта с новым подрядчиком (ориентировочно сентябрь-октябрь 2022 года). Я разговаривала с местными жителями. По словам одного из них: ""Снт лесное. Белослудцев Рафаил Иванович, участок 25. Был нормальный пруд, в нем даже купались. Приехали 2 трактора. Решили поменять русло реки, застряли. Срубили деревья на плотине и вокруг пруда. В результате получилось болото, к ключу нет нормального подхода. На дне русла много мусора, скопление ила, в результате уровень воды в пруде поднялся, поэтому ближайшие участки (в том числе и участок Рафаила Ивановича) подтопляет весной и во время обильных осадков"". Когда попытались изменить русло речки, был нарушен родник на склоне горы под которой пруд, люди своими силами восстановили его. Сейчас это струйка воды бегущая из трубы в одну лужу, затем снова в трубу и ещё в одну лужу, потом опять в трубу, а труба выходит в яму, заполненную водой, яма непосредственно рядом с прудом. Если будут производит очистку пруда, прошу пусть делают аккуратно, снова не нарушая родник. Возможно я ошибаюсь, но может яму с водой соединить с прудом.<br>А разровнять берег пруда; завезти нормальную землю; посадить ивы и березы, которые там росли раньше- это входит в благоустройство?<br>Также, я попыталась пройти вдоль русла реки, сама р. Брюханиха и её берега от Верхнего Андроновского пруда до Нижнего сильно замусорены (покрышки, стройматериалы и тд., кое-где в русле стволы упавших деревьев и даже пни). Тропа вдоль берега реки есть, но не везде. Она узкая, и скачешь по каким-то буеракам и оврагам. Берега местами топкие, в иле. В ходе расчистки будет обустройство тропы, отсыпка топких мест песком и щебнем? А то я не представляю, как можно вытащить весь мусор, который там есть по ""козьим"" тропкам.";Выбросы вредных веществ в водоёмы/загрязнение водоёмов;13
21139;Город Пермь;Мусор/Свалки/ТКО;'[id521207710|Сергей], добрый вечер.<br>Вы не знаете сколько у нас было встреч с чиновниками, переписок,обещаний о переносе КП за Вавилова5 на мун.землю 17 метров, или другой участок но данное решение не исполняется.<br>Ещё раз ВЕРЮ что Вы нам поможете,Сергей!<br>УК ДСТ П сейчас ВРЕДИТ<br>собственникам, по ул.Малкова10 хочет разместить КП для дома Малкова 8 за нашим домом ,Малкова 4 за нашим домом оставить,перед нашим домом у первого подъезда поставить КП и торца нашего дома поставит КП для Вавилова5,значит жильцы многоквар.жилого дома по ул.малкова10 будут полностью обставлены КП( мусорками).<br>Сергей прошу Вас помочь нам в данном вопросе,ведь на УК ДСТ П не кто не может воздействовать а УК ДСТ П ( наемник) нами руководит?<br>Прошу помочь нам через Главу города Перми,выделить нам участок под КП,чтоб не превращать наши дворы в полигон свалки.<br>Ведь расстояние между домами маленькое Не соответствует СанПиН и машина мусоровоз не сможет крутиться между домами так как проезды очень узкие.<br>Жду ваших комментариев и помощи.<br>Заранее благодарна.;Проблемы с контейнерами;14
21453;Город Пермь;Культура;"'Добрый день!<br>От лица зрителей Пермского театра «У Моста», прошу рассмотреть обращение с просьбой передачи здания бывшего Трамвайного Депо театру ""У Моста"" и оставить театру историческое здание, в котором в настоящее время проходят спектакли.<br>Для жителей и гостей Перми этот театр значит очень многое!<br>Театр ""У Моста"" был с нами во все периоды нашей жизни.<br>Помогал найти себя, когда трудности поглощали настолько, что переставал понимать ""кто ты"".<br>Был рядом в радостные и значимые события.<br>Поддерживал как друг.<br>Заботился как родной человек.<br>Был понимающим и чутким.<br>Лично для меня этот театр стал вторым домом всего за 2 года! Помог поверить в себя, свои силы и творчество, когда я была разочарована не только в себе, но и во всем мире.<br>Этот театр куда больше, чем какой-то проект. Это настоящая вселенная. И рассказывая про Пермь, первым делом с гордостью упоминаю именно этот театр! Самый лучший, самый значимый театр в моей жизни и жизни многих зрителей, я полагаю...<br>И я жалею лишь о том, что не познакомилась с ним раньше!<br>Безусловно, стоит отметить Сергея Федотова и всю его команду!<br>За годы существования театра они проделали очень длинный путь, перебороли множество преград, приобрели новых друзей в разных частях нашей планеты и прославили наш край.<br>Огромная благодарность и уважение всем, кто причастен к процветанию этого театра!<br>По моему скромному мнению, сохранить культурное наследие нашей прекрасной страны является важной задачей для каждого из ее жителей.<br>Светлое будущее невозможно без памяти о былых временах, без сохранения традиций и культуры страны.<br>Нам действительно есть чем гордиться.<br>И я очень надеюсь, что Вы солидарны в этом вопросе с жителями Пермского края!<br>Художественный руководитель и основатель театра «У Моста» Сергей Павлович Федотов неоднократно обращался к руководству края и города, с просьбой передать то или иное здание, но в ответ только получал отказ или пустые обещания.<br>Более 20 лет идут разговоры о необходимости для нашего театра более крупного здания.<br>В существующем здании, несмотря на всю его роскошную отделку, - деревянные перекрытия, которые не удовлетворяют противопожарным требованиям, тесные гримерки, нет места под склад для декораций и театральные цеха.<br>Неоднократно краевые власти обещали передать театру здание на заводе Шпагина. Театр мог бы туда переехать, показывать спектакли, а тем временем делать ремонт в историческом здании.<br>И уже готовился проект, но его отменили.<br>Театр просил передать им здание бывшего ДК ВКИУ или здание бывшего клуба УВД. Просьбы также не были услышаны.<br>В 2018 году, Сергей Федотов обращался к бывшему губернатору Прикамья Максиму Решетникову с просьбой передать театру «У Моста» здание бывшего ДК Телта, но получил отказ, а здание было снесено.<br>В начале весны 2022 года губернатор Пермского края<br>Дмитрий Николаевич Махонин обещал передать театру здание трамвайного депо.<br>Речь идет о здании на ул. Пермской, 1.<br>Трамвайное депо было построено в 1916 году и сейчас здание является объектом культурного наследия регионального значения.<br>Сергей Федотов осматривал помещения депо вместе с представителями краевой и городской администраций. По его словам, в здании можно разместить два зала на 200 и 350 мест, а также репетиционный зал.<br>Нынешние помещения театра «У Моста» на ул. Куйбышева, 11 требуют ремонта, а также устранения замечаний по пожарной безопасности.<br>Мэрия Перми ранее планировала создать в бывшем трамвайном депо гастрорынок с фуд-кортом и ярмарками.<br>В горадминистрации, власти собирались сначала предложить инвесторам взять депо в концессию, в случае, если бизнес не заинтересуется объектом, передать здание театру «У Моста».<br>Обещания вновь были взяты обратно, а театр остался без нового здания.<br>Здание театра ""У Моста"" хранит в себе атмосферу тайны и мистики. Эти стены впитывали в себя эмоции актёров и зрителей на протяжении вот уже более 30 лет!!!<br>Это огромный путь от бывшей конюшни до одного из самых узнаваемых и признанных театров мира. Вся реконструкция и развитие этого театр";Учреждения культуры;26
